Title Searched,Title Result,Titles Fuzzy Sim,Titles Cosine Sim,Year Searched,Year Result,Director Searched,Director Result,Directors Fuzzy Sim,Directors Cosine Sim,Link
Gone in 60 Seconds,Gone in 60 Seconds,1.0,1.0,2000,1974,Dominic Sena,H.B. Halicki,0.17,0.0,/movie/gone-in-60-seconds/
Gone in 60 Seconds,Gone in Sixty Seconds,0.82,0.75,2000,2000,Dominic Sena,Dominic Sena,1.0,1.0,/movie/gone-in-sixty-seconds/
Gone in 60 Seconds,,,,2000,,Dominic Sena,,,,
Highlander,Highlander,1.0,1.0,1986,1986,Russell Mulcahy,Russell Mulcahy,1.0,1.0,/movie/highlander/
Braveheart,Braveheart,1.0,1.0,1995,1995,Mel Gibson,Mel Gibson,1.0,1.0,/movie/braveheart/
Perfume: The Story of a Murderer,Perfume: The Story of a Murderer,1.0,1.0,2006,2006,Tom Tykwer,Tom Tykwer,1.0,1.0,/movie/perfume-the-story-of-a-murderer/
The Importance of Being Earnest,The Importance of Being Earnest,1.0,1.0,2002,2002,Oliver Parker,Oliver Parker,1.0,1.0,/movie/the-importance-of-being-earnest/
Life as a House,Life as a House,1.0,1.0,2001,2001,Irwin Winkler,Irwin Winkler,1.0,1.0,/movie/life-as-a-house/
Star Trek,Star Trek,1.0,1.0,2009,2009,J.J. Abrams,J.J. Abrams,1.0,1.0,/movie/star-trek/
Dragonheart,DragonHeart,1.0,1.0,1996,1996,Rob Cohen,Rob Cohen,1.0,1.0,/movie/dragonheart/
Star Trek Into Darkness,Star Trek Into Darkness,1.0,1.0,2013,2013,J.J. Abrams,J.J. Abrams,1.0,1.0,/movie/star-trek-into-darkness/
Star Trek Beyond,Star Trek Beyond,1.0,1.0,2016,2016,Justin Lin,Justin Lin,1.0,1.0,/movie/star-trek-beyond/
Stardust,Stardust,1.0,1.0,2007,2007,Matthew Vaughn,Matthew Vaughn,1.0,1.0,/movie/stardust/
Labyrinth,Labyrinth,1.0,1.0,1986,1986,Jim Henson,Jim Henson,1.0,1.0,/movie/labyrinth/
Johnny Mnemonic,Johnny Mnemonic,1.0,1.0,1995,1995,Robert Longo,Robert Longo,1.0,1.0,/movie/johnny-mnemonic/
Bedazzled,Bedazzled,1.0,1.0,2000,2000,Harold Ramis,Harold Ramis,1.0,1.0,/movie/bedazzled/
Black Swan,Black Swan,1.0,1.0,2010,2010,Darren Aronofsky,Darren Aronofsky,1.0,1.0,/movie/black-swan/
Pokemon: The First Movie,Pokémon: The First Movie - Mewtwo Strikes Back!,0.65,0.567,1998,1998,Kunihiko Yuyama,Kunihiko Yuyama,1.0,1.0,/movie/pokmon-the-first-movie---mewtwo-strikes-back!/
Pokemon: The First Movie,Pokémon: The Movie 2000,0.72,0.5,1998,1999,Kunihiko Yuyama,Kunihiko Yuyama,1.0,1.0,/movie/pokemon-the-movie-2000/
Demolition Man,Demolition Man,1.0,1.0,1993,1993,Marco Brambilla,Marco Brambilla,1.0,1.0,/movie/demolition-man/
Legend,Legend,1.0,1.0,1985,2015,Ridley Scott,Brian Helgeland,0.3,0.0,/movie/legend/
Legend,Legend,1.0,1.0,1985,1985,Ridley Scott,Ridley Scott,1.0,1.0,/movie/legend-1986/
Sex Drive,Sex Drive,1.0,1.0,2008,2008,Sean Anders,Sean Anders,1.0,1.0,/movie/sex-drive/
The Lost Boys,The Lost Boys,1.0,1.0,1987,1987,Joel Schumacher,Joel Schumacher,1.0,1.0,/movie/the-lost-boys/
Short Circuit,Short Circuit,1.0,1.0,1986,1986,John Badham,John Badham,1.0,1.0,/movie/short-circuit/
Elf,Elf,1.0,1.0,2003,2003,Jon Favreau,Jon Favreau,1.0,1.0,/movie/elf/
Sister Act,Sister Act,1.0,1.0,1992,1992,Emile Ardolino,Emile Ardolino,1.0,1.0,/movie/sister-act/
Tommy Boy,Tommy Boy,1.0,1.0,1995,1995,Peter Segal,Peter Segal,1.0,1.0,/movie/tommy-boy/
Idle Hands,Idle Hands,1.0,1.0,1999,1999,Rodman Flender,Rodman Flender,1.0,1.0,/movie/idle-hands/
Reign of Fire,Reign of Fire,1.0,1.0,2002,2002,Rob Bowman,Rob Bowman,1.0,1.0,/movie/reign-of-fire/
Rampant,Rampant,1.0,1.0,2018,2018,Kim Sung-hoon,Kim Sung-hoon,1.0,1.0,/movie/rampant/
Sorry To Bother You,Sorry to Bother You,1.0,1.0,2018,2018,Boots Riley,Boots Riley,1.0,1.0,/movie/sorry-to-bother-you/
"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",1.0,1.0,2017,2017,Martin McDonagh,Martin McDonagh,1.0,1.0,/movie/three-billboards-outside-ebbing-missouri/
Lamb,Lamb,1.0,1.0,2021,2021,Valdimar Jóhannsson,Valdimar Jóhannsson,1.0,1.0,/movie/lamb-2021/
