Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
BOOM!,1968,Joseph Losey,110,Summer Camp,,UK,In English and Italian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//boom,BOOM!,"In the riotous BOOM!, the terminally-ill Flora Goforth (Elizabeth Taylor) is visited at her Capri villa by the mysterious Chris Flanders (Richard Burton) who may be the angel of death. Adapted from a Tennessee Williams play, director John Waters, the film’s biggest fan, calls BOOM!, “The other side of camp. It's beautiful, atrocious, and it's perfect.” The production went wildly over budget, in part due to Taylor’s extravagant costumes, which includes a two-foot tall beaded headdress. Sontag wrote, “Camp is a woman walking around in a dress made of three million feathers.” Instead of feathers, BOOM! went with beads."
42ND STREET,1933,Lloyd Bacom,89,Summer Camp,,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//42nd-street,42ND STREET,"The Busby Berkeley–choreographed, smash hit musical 42ND STREET may seem misplaced on this list (even blasphemously so, alongside SHOWGIRLS) but in “Notes on Camp,” Sontag singles out the film. “The pure examples of camp are unintentional; they are dead serious. Genuine camp does not mean to be funny.” 42ND STREET, a dazzling backstage story about a Broadway director who mounts one last show before he retires, is steeped in camp sensibility: extravagant production design, sincere melodrama, and earnest spectacle—Berkeley’s calling card."
KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",100,Summer Camp,,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//king-kong,KING KONG,"In “Notes on Camp,” Sontag provides examples of canonical camp: The National Enquirer, Swan Lake, Flash Gordon comics, and KING KONG. When it was released, there wasn’t a whiff of camp to KING KONG, and audiences marveled at and took seriously its originality. While Sontag writes that time can make the banal fantastic, with KONG, the opposite occurs: Kong’s T-Rex fight on Skull Island, Fay Wray squirming in his massive paw, the ape beating his chest on the top of the Empire State Building—it all reads quite campy now. Still, the final line of the film, which we won’t dare spoil here, is one of the best of the last century."
MCCABE & MRS. MILLER,1971,Robert Altman,120,Robert Altman Centennial,35mm,USA,In English and Cantonese with English subtitles | Format: 35mm,https://www.siskelfilmcenter.org//mccabe-mrs-miller,MCCABE & MRS. MILLER,"Altman’s revisionist Western stars Warren Beaty as gambler John McCabe and Julie Christie as madam Constance Miller, two newcomers to the town of Presbyterian Church, Washington, in the early 1900s. After they partner up to run a saloon and brothel, their business is threatened by a corporation interested in buying the property. Altman’s layered dialogue style and unorthodox, fluid cinematography radically upended the Western genre. The stakes are high, of course—prosperity, love, death—but here Altman swaps the dusty frontier for the muddy and snowy Pacific Northwest, and trades American patriotism for melancholic isolation. Set to the songs of Leonard Cohen, the film earned Julie Christie an Academy Award nomination and was praised by The New Yorker’s Pauline Kael as being so affecting “it leaves one rather dazed.” Of its director, The Chicago Tribune’s Gene Siskel declared, “Altman is clearly a master.” 35mm print courtesy The Chicago Film Society."
SABBATH QUEEN,2024,Sandi Simcha Dubowski,105,,Director In Attendance,USA,In English and Hebrew and Yiddish with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//sabbath-queen,SABBATH QUEEN,"Rabbi Amichai Lau-Lavie, a dynastic heir of 38 generations of rabbis, arrives in New York City in the 1990s, a creative young gay man who uses performance art—including appearing in drag as Rebbetzin Hadassah Gross, widow to six rabbis—to challenge patriarchal orthodoxy. Founder of Lab/ Shul, the “god-optional, pop-up, experimental Jewish community,” Lau-Lavie shocks everyone when he decides to become a rabbi himself, studying in the conservative tradition of Judaism so he has the knowledge to challenge the canon from within. Provocative and engaging, SABBATH QUEEN is an exhilarating document of freedom, faith, independence, and individuality. Dialogue: Director Sandi Simcha Dubowski in attendance."
THE DEVIL IS A WOMAN,1935,Josef von Sternberg,79,Summer Camp,35mm,USA,In English and Spanish with English subtitles | Format: 35mm,https://www.siskelfilmcenter.org//devil-woman,THE DEVIL IS A WOMAN,"When we first see Marlene Dietrich in THE DEVIL IS A WOMAN, she is wearing a towering headdress, in a horse drawn carriage, surrounded by balloons—what an entrance! “Camp is the outrageous aestheticism of von Sternberg’s six American movies with Dietrich,” writes Sontag. In this, their last film together, Dietrich is the notorious seductress Concha to Cesar Romero’s Captain Costelar, who, falling under the temptresses spell, is warned to resist her charms. A veritable feast of baroque décor and opulence, Dietrich’s wardrobe—replete with gowns, massive jewels, and unforgettable hats—is worth the price of admission alone."
IMAGES,1972,Robert Altman,104,Robert Altman Centennial,,UK,In English and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//images,IMAGES,"In Altman’s psychological thriller, the mental undoing of author Cathryn (Susannah York) begins with disturbing phone calls that suggest her husband Hugh is having an affair. Shortly after, Cathryn is plagued by visions of her dead lover Rene, and receives an unexpected visit by her ex-lover Marcel—and soon is unable to distinguish the three men from one another. Critical viewing for Altman devotees and novices alike, IMAGES, which critics compared to Ingmar Bergman’s PERSONA (a major inspiration for the film), is an atypical Altman film, with a small cast of five, no overlapping dialogue, and haunting visuals that marked an entirely new style in his filmography (which he revisits in 1977’s 3 WOMEN, presented in this series July 16 and 19). IMAGES premiered at the Cannes Film Festival, where York won the Best Actress prize. A young John Williams received an Academy Award nomination for his chilling original score."
LIGHTNING,1952,Mikio Naruse,87,,35mm,Japan,In Japanese with English subtitles | Format: Imported 35mm,https://www.siskelfilmcenter.org//lightning,Chicago Film Society Presents: LIGHTNING,"You've never met a more cheerful urban ambassador than Kiyoko (Hideko Takamine), who works as a tour guide on a bus and spends her days airily comparing the sights and sounds of post-war Tokyo to the old world charms of Paris. From the first moment she’s glimpsed on screen, Kiyoko is obviously living her best life, unencumbered by marriage, children, or professional anxiety—and yet everyone in her family wonders when she’s going to settle down with the right man. Her mother, who’s been married and divorced four times and had a child with each husband, suggests (and suggests and suggests again) the local baker as a suitor with squarely good- enough appeal. Both of Kiyoko’s sisters attest to the pleasures of coupledom, despite much evidence to the contrary. Kiyoko laughs it all off, breezily informing any interlocutor that men are just terrible. (Luckily, she can readily cite the example of her ne’er-do-well brother, with his slovenly, unshaven legs and his meager pachinko parlor winnings.) Adapted from a novel by Fumiko Hayashi, whose hard- scrabble, lower-middle class milieu was brought to the screen six times by Mikio Naruse, LIGHTNING is an unassuming marvel, a work that teeters on the edge of romantic comedy, but never succumbs. Kinema Junpo magazine declared it the second-best Japanese film of 1952, behind only Kurosawa’s IKIRU, but LIGHTNING, along with the rest of Naruse’s post-war output, did not get distributed in the US and remains undeservedly obscure. Like its heroine, LIGHTNING simply engages with the world, avoids shunting its characters into readymade boxes, and looks over the horizon for fleeting release. (Chicago Film Society) 35mm from the Japan Foundation, permission Kadokawa."
A STREETCAR NAMED DESIRE,2025,Benedict Andrews,180,National Theatre Live,,UK,In English | Format: Digital,https://www.siskelfilmcenter.org//streetcar-named-desire,National Theatre Live: A STREETCAR NAMED DESIRE,"Filmed live during a sold-out run at the Young Vic Theatre in 2014, the acclaimed production of Tennessee Williams’ timeless masterpiece returns to the Siskel Film Center! As Blanche DuBois’ (Gillian Anderson, Sex Education) fragile world crumbles, she turns to her sister Stella (Vanessa Kirby, National Theatre Live: JULIE), for solace—but her downward spiral brings her face to face with the brutal, unforgiving Stanley Kowalski (Ben Foster, LEAVE NO TRACE). (NTL)"
FILMS FOR ONE TO EIGHT PROJECTORS,2008,Roger Beebe,88,OFF CENTER,"16mm, Artist Performance",USA,"In English | Format: 16mm, Digital",https://www.siskelfilmcenter.org//one-to-eight,OFF CENTER: FILMS FOR ONE TO EIGHT PROJECTORS,"Acclaimed filmmaker Roger Beebe visits the Siskel Film Center for his first full solo performance in Chicago in 10 years! He’ll perform an exhilarating array of 16mm multi-projector expanded cinema pieces including LINEAGE (FOR NORMAN MCLAREN) (2019, 5x16mm), DE RERUM NATURA (2019, 3x16mm + video), and the Chicago premiere of UN ARBRE (2024, 5x16mm + video). The program will be rounded out with additional performance and essayistic work that explore the world of found images and the “found” landscapes of late capitalism. Artist in attendance for a live performance."
