Title,Year,Publication,Score,Critic,Snippet,Date Written
Superboys of Malegaon,2025,Variety,70,Siddhant Adlakha,"Although the film, which is based on real events, often tries to cover too much ground, it continually circles back to the idea that people must see themselves reflected in art, not just out of want, but out of deep desire stemming from need, in order to live with dignity.","Sep 16, 2024"
Superboys of Malegaon,2025,The New York Times,70,Lisa Kennedy,This tale — inspired by the 2008 documentary “Supermen of Malegaon” — succeeds most as a touching tribute to friendship.,"Feb 27, 2025"
Superboys of Malegaon,2025,TheWrap,60,Elizabeth Weitzman,"The actors are so committed, and the script so heartfelt, you’d have to be a villain to resist this group’s superpowered sincerity.","Jan 30, 2025"
Superboys of Malegaon,2025,The Observer (UK),60,Wendy Ide,"Reema Kagti’s fiction feature gets a little bogged down in the tension between the friends, resulting in a marked dip in energy in the second hour. But the (literally) uplifting final act raises the roof and, through rudimentary green-screen technology, some of the cast.","Mar 10, 2025"
Art Spiegelman: Disaster Is My Muse,2025,RogerEbert.com,100,Glenn Kenny,"Directed by Molly Bernstein and Philip Dolin, “Art Spiegelman: Disaster Is My Muse” is a remarkably cogent and compelling presentation not just of Spiegelman’s life story but also his personality and art.","Feb 24, 2025"
Art Spiegelman: Disaster Is My Muse,2025,The Hollywood Reporter,60,Daniel Fienberg,"The documentary is generally engaging, and putting Spiegelman in a spotlight will always be worthwhile. But Disaster Is My Muse is in the shadow of Crumb, in the shadow of Maus and just a little bit behind the times, in various disappointing ways.","Feb 18, 2025"
Art Spiegelman: Disaster Is My Muse,2025,The New York Times,60,Manohla Dargis,"Everyone is engaging, the art is magnificent and the whole thing pleasant, if overly cozy and hagiographic. That’s too bad. Then again — with “Maus” and his other work — Spiegelman has already produced his definitive biography.","Feb 20, 2025"
Compensation,2025,The New York Times,100,Lisa Kennedy,Compensation brims with insights and ideas.,"Feb 20, 2025"
Compensation,2025,RogerEbert.com,100,Robert Daniels,"Compensation, director Zeinabu irene Davis’ masterpiece, is a film guided by the desire to represent facets of Black life and history left relatively unexplored.","Feb 21, 2025"
Compensation,2025,The New Yorker,100,Richard Brody,"The great power of the movie, beyond the passionate specifics of its romantic dramas, is in the distillation of an enormous vision of historical unity.","Feb 21, 2025"
Compensation,2025,Slant Magazine,100,Jake Cole,Compensation deftly uses intimate methods of character identification to encourage the viewer to imbibe the larger history lived through those figures.,"Feb 26, 2025"
Universal Language,2025,New York Magazine (Vulture),100,Bilge Ebiri,"Universal Language is a magnificent film, one that feels warm and familiar even as we realize just how startlingly original it is.","May 25, 2024"
Universal Language,2025,Original-Cin,100,Liam Lacey,"In short, Universal Language is something of bag of mixed nuts, a Frankenfilm, a cinematic turducken, with comic non-sequiturs and sight gags linked by three narrative strands.","Feb 6, 2025"
Universal Language,2025,RogerEbert.com,100,Monica Castillo,"Co-written by Rankin, Nemati, and Ila Firouzabadi, “Universal Language” is delightfully absurdist, with little moments in each story that both make sense yet defy expectations.","Feb 14, 2025"
Universal Language,2025,Rolling Stone,100,David Fear,"There is no single category that you can slot Rankin’s mix of a wink, a nudge and an embrace into, so we guess “lo-fi masterpiece” will have to do until a better option comes along.","Feb 14, 2025"
Universal Language,2025,The Globe and Mail (Toronto),95,Barry Hertz,"Universal Language is a film flooded with sorrow and spirit, discombobulating surrealism and comforting sentimentality.","Jan 21, 2025"
Universal Language,2025,The Film Stage,91,Rory O'Connor,"Everything from the film’s humanist energies, down to the timbre of the dialogue, rings like an endearing, never-labored homage to Persian cinema.","May 25, 2024"
Universal Language,2025,Collider,90,Jason Gorber,"The story navigates the fine line between community pride and nationalistic zeal, providing lessons for a future while admitting to the existential futility of it all. We can shift our perspective, but every time we do, things stay pretty much the same.","Sep 17, 2024"
Universal Language,2025,The New York Times,90,Alissa Wilkinson,"It’s a pensive meditation in an era of displacement, even if the film never tries to make a big point. The mood is palpable, and the meditation legible, even if Winnipeg and Iranian cinema are to you as remote as a chilly winter moon.","Feb 13, 2025"
Universal Language,2025,Paste Magazine,90,Jim Vorel,The characters of Universal Language somehow leave you feeling better about humanity than you did before viewing it.,"Feb 14, 2025"
Universal Language,2025,The Associated Press,88,Jake Coyle,"Rankin’s film, his second following the also surreal “Twentieth Century” (2019), is propelled less by narrative thrust than the abiding oddity of its basic construction, and the movie’s slavish devotion to seeing it through without a wink.","Feb 18, 2025"
Universal Language,2025,IndieWire,83,David Ehrlich,"Universal Language is first and foremost a testament to the shared artifice of all filmic storytelling, and to the singular realities it’s able to bring alive in turn.","May 25, 2024"
Universal Language,2025,The Daily Beast,83,Nick Schager,An off-kilter creation that feels like the wacko offspring of Aki Kaurismäki and Abbas Kiarostami’s cinemas.,"Oct 9, 2024"
Universal Language,2025,The A.V. Club,83,Jacob Oller,"To further dig into Rankin’s blending of the goofily left-field and the openly earnest, the message persisting through the dry punchlines is that to care for your neighbor, to care for all the oddities of home, is to care for yourself.","Feb 12, 2025"
Universal Language,2025,Variety,80,Peter Debruge,"Rankin may have conceived Universal Language in the spirit of homage, but there’s something undeniably original about the end result. Don’t be surprised if that translates into a modest cult following and more creative ideas in the future.","May 25, 2024"
Universal Language,2025,Film Threat,80,Andy Howell,"The film is so gloriously absurd that we are mainly driven through the narrative by the continuous reveal of new elements in this bizarre and hilarious universe. Still, when everything does come together at the end, there are some emotional payoffs that sneak up on you like a wandering turkey.","Oct 11, 2024"
Universal Language,2025,The Hollywood Reporter,80,Jordan Mintzer,"Rankin seems to be seeking out the universal language of cinema itself. In his own very weird way he manages to find it, turning an everyday place into something momentarily special — which is what all good movies are meant to do.","Feb 14, 2025"
Universal Language,2025,TheWrap,80,Chase Hutchinson,"It’s a film whose magnificence sneaks up on you, delighting in plenty of clever silliness before hitting you with a succession of somber scenes that lay you flat.","Feb 14, 2025"
Universal Language,2025,Los Angeles Times,80,Amy Nicholson,"The tone is dry and spartan — and funny, too, if you don’t mind snorting at someone whose sons died in a marshmallow-eating competition, or giggling over the sobs of a worker weeping in a cubicle for reasons that go unexplained.","Feb 14, 2025"
Universal Language,2025,The Film Verdict,75,Stephen Dalton,"Blending autobiographical elements with heartfelt homages to Iranian cinema, writer-director Matthew Rankin's charmingly surreal comic fable reimagines Canada as a Farsi-speaking dreamland.","May 25, 2024"
Universal Language,2025,Slant Magazine,75,David Robb,"Though juxtaposing Canada’s drabness and relative lack of heritage with Iran’s millennia of unbroken tradition brings out the former aspects particularly clearly, Universal Language is aiming beyond mere satire or culture-clash playfulness.","Sep 8, 2024"
Universal Language,2025,Washington Post,75,Ty Burr,"It is as far from the commercial mainstream as narrative filmmaking gets, but for connoisseurs of the poetic bizarre, it has its very real enchantments.","Feb 28, 2025"
Universal Language,2025,The New Yorker,70,Justin Chang,"[Rankin’s] film, at its best when it expresses a sincere belief in the possibilities of human connection, can feel trapped in the margins of its conceit, short-circuited by movie love.","Feb 13, 2025"
Universal Language,2025,Screen Daily,60,Fionnuala Halligan,You could call it whimsical. Absurdist. Contrived. Or an unexpectedly unusual concept album that doesn’t quite come off but was worth the effort. And you would be correct every time.,"May 25, 2024"
Universal Language,2025,Wall Street Journal,50,Kyle Smith,"The oblique nature of the final act might perhaps be justified if the rest of the movie were better. As it is, I kept thinking, “I guess that’s funny, in a way” rather than actually laughing at any of Mr. Rankin’s aggressively whimsical notions.","Feb 14, 2025"
The Annihilation of Fish,2025,RogerEbert.com,100,Robert Daniels,"At every turn, “The Annihilation of Fish” is wonderfully surprising.","Feb 10, 2025"
The Annihilation of Fish,2025,Los Angeles Times,90,Tim Grierson,"To experience this film is to be overcome with melancholy. The love story’s fragility makes such a sentiment inescapable, but so is the sight of so many faces who are no longer with us.","Feb 21, 2025"
The Annihilation of Fish,2025,Film Threat,90,Benjamin Franz,It’s a most humane and beautiful story.,"Mar 18, 2025"
The Annihilation of Fish,2025,Film Threat,80,Merle Bertrand,"Romantic comedies have become something of a tired staple in indie filmmaking, these days. Yet, odd as it may seem, it's the unlikely interracial geriatric chops on display in The Annihilation of Fish that breathe new life into the genre.",
The Annihilation of Fish,2025,Chicago Tribune,75,Michael Phillips,"The movie’s a rom-com at heart, but there is no other one like it.","Mar 21, 2025"
The Annihilation of Fish,2025,L.A. Weekly,70,F. X. Feeney,"The love that grows between Fish and Poinsettia could have turned treacly in the wrong hands, but director Charles Burnett -- has the direct observational style of the silent masters.",
The Annihilation of Fish,2025,Movie Nation,63,Roger Moore,"Three great performers committing to their parts will always be a pleasure, and the fact that each was beloved by generations makes this dramedy an easy sell for most film buffs.","Feb 21, 2025"
The Annihilation of Fish,2025,New Times (L.A.),30,Andy Klein,"An amusing trifle. There are few comic staples less convincing or more timeworn than charming lunatics in love, and the only thing that lifts this film beyond TV-movie quality is Jones' performance.",
The Annihilation of Fish,2025,Variety,10,Todd McCarthy,A minnow of a movie. A drear moment in the careers of all concerned.,
Becoming Led Zeppelin,2025,RogerEbert.com,100,Glenn Kenny,"If you’re someone who treasures the music of Led Zeppelin more than you’re interested in the legend—or the gossip, or the dirt, or whatever you want to call it—of Led Zeppelin, this movie is absolutely for you. I’m one of those people, and I ate it up.","Feb 7, 2025"
Becoming Led Zeppelin,2025,Consequence,83,Spencer Kaufman,"Becoming Led Zeppelin is a fascinating look at the creation of one of the greatest rock acts to ever exist. Led Zeppelin were truly a band where each of the four members played a vital part in its success, and that’s on full display throughout the film.","Feb 7, 2025"
Becoming Led Zeppelin,2025,NME,80,James Mottram,"True, Becoming Led Zeppelin is never going to do anything but celebrate, given it’s an authorised take on the band. But there’s warmth and good humour here.","Feb 12, 2025"
Becoming Led Zeppelin,2025,The Hollywood Reporter,70,John DeFore,"For a casual fan who knows the band largely for swagger and self-indulgence, Bernard MacMahon’s Becoming Led Zeppelin is an eye-opening delight — a visit with charming old men who modestly recall the music-drunk paths they took to forming the defining band of the classic-rock ’70s.","Sep 5, 2021"
Becoming Led Zeppelin,2025,TheWrap,70,Steve Pond,"If you’re a diehard fan, you’ll probably glory in what the film delivers and wish there were more of it; if you’re not, you may find yourself power-chorded into submission sometime before the 2-hour and 17-minute running time comes to an end.","Sep 5, 2021"
Becoming Led Zeppelin,2025,Variety,60,Owen Gleiberman,"Becoming Led Zeppelin is full of essential stuff, but on some level it feels like a Led Zeppelin infomercial.","Sep 5, 2021"
Becoming Led Zeppelin,2025,The Guardian,60,Peter Bradshaw,"Overall, this is a likable and well-researched film, but there is something unsatisfying in ignoring the band’s later stages. Perhaps Part II is in the works.","Feb 6, 2025"
Becoming Led Zeppelin,2025,The Times,60,Will Hodgkinson,"If you want to soak in what amounts to a concert film with an origin story, Becoming Led Zeppelin is sonically impressive and visually arresting.","Feb 7, 2025"
Becoming Led Zeppelin,2025,IndieWire,50,Nicholas Barber,"Like all of the best rock docs, it will make you want to listen to the band’s albums. But after the second hour has come and gone, you might decide that you’ve listened enough, after all.","Sep 5, 2021"
Becoming Led Zeppelin,2025,Movie Nation,50,Roger Moore,"If Led Zeppelin’s place in the culture outlives them, later films will plumb the depths of their “real” experience of fame, success, sex, drugs and rock’n roll. This is the coffee picture table book version.","Feb 10, 2025"
Becoming Led Zeppelin,2025,Los Angeles Times,50,Joshua Rothkopf,"A timid, far-from-revelatory film, authorized by the three surviving Zeppelin vets and graced by their presence in new interviews that give off the faint scent of impatience.","Feb 18, 2025"
Becoming Led Zeppelin,2025,The Playlist,42,Marshall Shaffer,This bloated documentary will not create any new fans of Led Zeppelin because MacMahon caters exclusively to the group’s superfans.,"Sep 5, 2021"
Heart Eyes,2025,Original-Cin,91,Thom Ernst,"Despite some impressive kills and a respectable body count, Heart Eyes is more romcom than slasher. However, it's a genre mishmash that creates a wholly unexpected delight. Imagine Jason Voorhees stumbling onto the set of Sleepless in Seattle or an entry in the Scream franchise directed by Garry Marshall.","Feb 6, 2025"
Heart Eyes,2025,RogerEbert.com,88,Peyton Robinson,"Heart Eyes is a raving good time. As a Valentine’s Day flick and a horror picture, it lands for fans of all kinds: those who seek warmth, wrath, or both.","Feb 5, 2025"
Heart Eyes,2025,TheWrap,88,William Bibbiani,"Heart Eyes seems destined to become a Valentine’s Day favorite, that rare horror movie with a great and charming love story, and that even rarer romantic comedy with a great and savage serial killer.","Feb 7, 2025"
Heart Eyes,2025,IndieWire,83,Alison Foreman,This nutty blend of hyper-violence and one-liners is a dark comedic delicacy.,"Feb 6, 2025"
Heart Eyes,2025,Variety,80,Courtney Howard,"Thoroughly self-aware (perhaps to a fault), stocked with self-reflexive gags and gorily-orchestrated kills, the picture is endearing with its delightfully zippy charms.","Jan 31, 2025"
Heart Eyes,2025,Empire,80,Ian Freer,"An affectionate bloody valentine to both romcoms and horror, Heart Eyes is a like a Hinge date from hell. Smart, funny, intense; swipe right.","Feb 14, 2025"
Heart Eyes,2025,Austin Chronicle,78,Richard Whittaker,"Broad, sharp, hysterical, witty, and perfect for everyone who likes their Valentine’s hearts with candy or carved, still beating out of their chest.","Feb 6, 2025"
Heart Eyes,2025,Washington Post,75,Jen Yamato,"As the tropes pile up faster than tears in a Nicholas Sparks novel, so do the bodies, dispatched in increasingly inventive and grisly ways.","Feb 5, 2025"
Heart Eyes,2025,USA Today,75,Brian Truitt,"Heart Eyes is tastier than a box of candy hearts, unleashes some highly entertaining kills and sticks mostly to its genre scripts. But if it drags even one horror-hating significant other over to the dark side, that’s a bloody win.","Feb 6, 2025"
Heart Eyes,2025,Paste Magazine,73,Jesse Hassenger,"Heart Eyes can’t help but swoon at the rich tradition of slashers serving as first-date fodder. It’s not especially scary, but it’s a thrill all the same.","Feb 10, 2025"
Heart Eyes,2025,Collider,70,Aidan Kelley,"The two leads are so charming, the jokes are genuinely funny, and the kills are delightfully gorey.","Jan 31, 2025"
Heart Eyes,2025,Slant Magazine,63,Justin Clark,"Heart Eyes is a slasher movie first, and a gnarly one at that, with some imaginative, seat-shiftingly gruesome kills, and some particularly ominous set pieces.","Feb 1, 2025"
Heart Eyes,2025,The Seattle Times,63,Mark Meszoros,"Overall, Heart Eyes has a winning formula, but maybe don’t expect it to sweep you off your feet.","Feb 5, 2025"
Heart Eyes,2025,Observer,63,Dylan Roth,"It’s both a pretty good post-Kevin Williamson slasher movie and a pretty good post-Nora Ephron studio romcom. The finished recipe isn’t much more than the sum of its ingredients, but when one of those ingredients is in such short supply, the result is some welcome — if blood-splattered — comfort food.","Feb 7, 2025"
Heart Eyes,2025,IGN,60,A.A. Dowd,From the sincerity of the lead performances to the cartoonish gore offered by Werewolves Within director Josh Rubenn. There are much worse ways to spend Valentine’s Day than a genre cocktail for saps and gorehounds alike.,"Jan 31, 2025"
Heart Eyes,2025,Slashfilm,60,Chris Evangelista,"Heart Eyes is solid enough to entertain. The jokes land, the leads are great, and the romance storyline is surprisingly sweet.","Jan 31, 2025"
Heart Eyes,2025,The Hollywood Reporter,60,Frank Scheck,"The creatives’ obvious affinity for the genre comes through in every frame of the film, and to their credit Heart Eyes includes many clever touches.","Jan 31, 2025"
Heart Eyes,2025,Los Angeles Times,60,Amy Nicholson,"A Valentine’s Day massacre in which PDA leads to public executions, it’s got decent gags, middling scares and a rationale sloppier than two dogs sharing a strand of spaghetti. As date night fare, it’ll do.","Feb 5, 2025"
Heart Eyes,2025,ABC News,60,Peter Travers,"For all its imperfections and borrowed horror inspirations, this cheeky romcom scarefest is still one movie Valentine that delivers the goods for shudders and cuddles.","Feb 7, 2025"
Heart Eyes,2025,New York Magazine (Vulture),60,Alison Willmore,Heart Eyes is strong enough that the shortcomings that keep it in the realm of the passable instead of the actually good are maddening.,"Feb 7, 2025"
Heart Eyes,2025,The Observer (UK),60,Wendy Ide,"It’s all fairly predictable. Anyone who has seen more than a couple of serial killer movies will have no problem assembling a list of possible masked murderers. But Josh Ruben’s film goes above and beyond when it comes to squelchy, visceral gore.","Feb 19, 2025"
Heart Eyes,2025,The A.V. Club,58,Katie Rife,"Even when its characters do get earnest, Heart Eyes has its tongue so far in its cheek that these moments of vulnerability are also viewed from an ironic distance. Instead of feeling for these characters, we’re waiting for the bloody punchline—which will come, and will be funny in a deliciously morbid kind of way. There’s nothing to hold on to, and certainly nothing to be afraid of.","Feb 5, 2025"
Heart Eyes,2025,Screen Rant,50,Molly Freeman,"All in all, Heart Eyes is a fine horror movie. It has a fun and unique idea, and the first act of the movie is very strong, but Heart Eyes loses its way and culminates in a middling-to-bad third act that squanders all the potential of the premise and beginning.","Jan 31, 2025"
Heart Eyes,2025,The Daily Beast,50,Nick Schager,"[A] bland stab at genre hybridization, whose sole accomplishment is falling flat at everything it tries.","Feb 5, 2025"
Heart Eyes,2025,The Guardian,40,Benjamin Lee,"Whatever might have made sense on paper just doesn’t translate to screen, a fun little concept that ends up being something of a drag.","Feb 7, 2025"
Heart Eyes,2025,Movie Nation,38,Roger Moore,"The goofy tone is maintained, start to finish. But that finale is the biggest dud among the various clunky set-ups that don’t produce anything funny or scary or romantic.","Feb 7, 2025"
Heart Eyes,2025,The New York Times,30,Erik Piepenburg,It’s hard to discern who the film is for when it feels as if it’s been passed around genre writing classes in search of an identity.,"Feb 6, 2025"
Heart Eyes,2025,Little White Lies,30,Billie Walker,Unfortunately Heart Eyes is so vacuous and confused that it can’t even decide if it’s cynical or sentimental about love itself.,"Feb 14, 2025"
Time Passages,2025,RogerEbert.com,88,Matt Zoller Seitz,"I haven’t seen anything quite like it before. That alone makes it worth seeing, as long as you accept the proposition that a movie like this is unique, in some ways beyond genre labels, and feeling its way towards the right flow and shape as it goes.","Feb 3, 2025"
Dog Man,2025,RogerEbert.com,88,Nell Minow,"Dog Man, based on Dav Pilkey’s popular series of graphic novels for kids, is sublimely silly, a mixture of comedy, action, and heart, all done with such high spirits it seems effortless.","Jan 30, 2025"
Dog Man,2025,The Hollywood Reporter,80,Frank Scheck,"The animation, too, is consistently delightful, densely crammed with visual gags and imaginative flourishes.","Jan 29, 2025"
Dog Man,2025,The Telegraph,80,Robbie Collin,The premise sounds morbid but the execution couldn’t be sunnier: think Snoopy does RoboCop.,"Feb 7, 2025"
Dog Man,2025,The Times,80,Ed Potton,"The writer-director Peter Hastings preserves Pilkey’s key ingredients: lavatorial sniggers, winking details, a kid-made aesthetic.","Feb 7, 2025"
Dog Man,2025,The Observer (UK),80,Wendy Ide,"Dog Man, the half-dog, half-cop protagonist of Dav Pilkey’s Captain Underpants spin-off book series, is a gloriously funny creation.","Feb 10, 2025"
Dog Man,2025,The A.V. Club,75,Andy Crump,Dog Man is a sugar rush.,"Jan 29, 2025"
Dog Man,2025,The Seattle Times,75,Katie Walsh,"The lessons of compassion and empathy are profound, and remind us that tales of good triumphing over evil are evergreen, even when it doesn’t seem to be reflected in the world around us.","Jan 29, 2025"
Dog Man,2025,Washington Post,75,Chris Klimek,"Screenwriter-director Peter Hastings — who also voices Dog Man’s barks, woofs, howls and assorted canine musings — has shoehorned a streaming season’s worth of plot into this sub-90-minute enterprise, and its caffeinated tempo makes “Moana 2” feel like a Terrence Malick joint.","Jan 30, 2025"
Dog Man,2025,The New York Times,70,Ben Kenigsberg,"In this screen adaptation, written and directed by Peter Hastings, jokes fly with the bouncy randomness of Dog Man’s favorite tennis ball, and there are so many that a fair number of them would land even if they weren’t pretty good.","Jan 29, 2025"
Dog Man,2025,Paste Magazine,70,Jesse Hassenger,"Most of the movie is colorfully antic; another fearsome villain is a dead fish voiced by Ricky Gervais (too easy), and at one point a bunch of buildings come to life and rampage like meta-kaiju. There is, however, surprisingly psychological depth afforded to Petey’s clone, Li’l Petey (Lucas Hopkins).","Jan 29, 2025"
Dog Man,2025,Wall Street Journal,70,Zachary Barnes,"The heart of the film is the emotional triangle of Petey, Li’l Petey and Dog Man, as the two erstwhile enemies both find something like love for the kitten (voiced by Lucas Hopkins Calderon and full of disarming innocence) and something like forgiveness for each other.","Jan 30, 2025"
Dog Man,2025,TheWrap,70,Elizabeth Weitzman,"The kids will love it. And actually, you might, too.","Jan 31, 2025"
Dog Man,2025,Collider,70,Nate Richard,"It's a silly movie, make no mistake, but it's an endearingly one nonetheless.","Jan 31, 2025"
Dog Man,2025,Little White Lies,70,Callie Petch,"Dav Pilkey’s beloved children’s graphic novel series was adapted about as faithfully as possible, fully capturing the puerile (literal toilet humour) and subversive (critiques against the education system’s expressionless rigidity education system) spirit of Pilkey’s work in a consistently hysterical and dynamically-animated treat of a film.","Feb 5, 2025"
Dog Man,2025,The Film Verdict,64,Alonso Duralde,"He makes his way to the big screen with silliness (and a love of tennis balls) intact, but Dog Man deserves a frenetic pace to match its barrage of absurd jokes and plot twists.","Jan 30, 2025"
Dog Man,2025,LarsenOnFilm,63,Josh Larsen,"The movie has a self-aware streak that isn’t too self-impressed, as well as an amusing flair for the absurd.","Jan 30, 2025"
Dog Man,2025,The Guardian,60,Cath Clarke,"Dog Man is packed with goofy gags that whizz past, with no let up from the hectic pace.","Feb 5, 2025"
Dog Man,2025,Empire,60,Helen O'Hara,"It's all very, very silly. That, combined with the relentless pace, should ensure that it delights its target audience of under-tens, but the adults shouldn’t fear this dog’s bark too much.","Feb 19, 2025"
Dog Man,2025,Screen Rant,50,Mary Kassel,"Dog Man is trying to tackle too many themes and morals at once, creating a mess instead of a cohesive and accessible lesson.","Jan 29, 2025"
Dog Man,2025,Variety,50,Courtney Howard,"It jams too many villains, themes and gags into a brief run time. Many of its bigger ideas focused on therapeutic conflict resolution fail to coalesce, leading to an overall tonal imbalance.","Jan 29, 2025"
Dog Man,2025,The Associated Press,50,Mark Kennedy,"Peter Hastings, director, screenwriter and animal voice of Dog Man, has had a hand in Pilkey’s much better adaption of “Captain Underpants,” but this time smashes together characters and plot lines from several of the books in a way that is hard to follow even for fans.","Jan 29, 2025"
Dog Man,2025,Boston Globe,38,Odie Henderson,The big surprise is that none of these talented voice actors bring anything new or interesting to their one-dimensional roles.,"Jan 29, 2025"
Presence,2025,Consequence,100,Liz Shannon Miller,"The scope of Presence remains small and intimate throughout, in a way that really makes you appreciate Soderbergh’s craft, especially his attention to detail.","Jan 22, 2025"
Presence,2025,Entertainment Weekly,91,Devan Coggan,"As haunted house stories go, Presence is more interested in lurking dread than bloody jump scares, slowly ratcheting up the tension with long, uninterrupted takes.","Jan 21, 2024"
Presence,2025,The Hollywood Reporter,90,David Rooney,"This is an enormously satisfying watch for haunted house movie fans, favoring sustained anxiety over big scares and practical effects over digital trickery.","Jan 20, 2024"
Presence,2025,New York Magazine (Vulture),90,Bilge Ebiri,"Presence isn’t afraid to be narratively predictable, because it’s out there visually. It’s an art film that also works as a spellbinding horror film, and it might be the best thing Soderbergh has done in ages.","Jan 20, 2024"
Presence,2025,Slashfilm,90,Bill Bria,"When Presence delves into the more typical trappings of the genre — everything from a scene where a psychic investigates the house to moments of seance-like invocation — it still retains its unique voice, thanks not just to Soderbergh but Koepp.","Jan 25, 2024"
Presence,2025,IGN,90,Siddhant Adlakha,"With a playful camera that rushes through space and embodies a ghostly spirit, Steven Soderbergh’s resourceful haunted house thriller is a midnight genre romp.","Jan 25, 2024"
Presence,2025,Los Angeles Times,90,Justin Chang,"If the genre trappings seem familiar, it’s the prowling, ghostlike vantage of the camera that makes all the difference: Soderbergh has elected to tell this haunted-house story entirely from the perspective of the haunter. Shooting in wide-angled long takes that range in tenor from voyeuristic languor to nerve-shredding anxiety, he transforms a domestic horror exercise into another Soderberghian tour de force.","Jan 30, 2024"
Presence,2025,Film Threat,90,Michael Talbot-Haynes,"Soderbergh does the whole movie in long takes using a wide-angle steady-cam setup. It is a situation fertile for great acting, as the long shots allow these performers to really inhabit their characters.","Jan 22, 2025"
Presence,2025,The New York Times,90,Manohla Dargis,Presence is another ideal trap to trip for a filmmaker who enjoys challenges and changing it up artistically as much as Soderbergh does.,"Jan 23, 2025"
Presence,2025,Washington Post,88,Ty Burr,"Best of all, “Presence” is short and sure of itself, a tidy 84 minutes that explore a fraying family dynamic as observed by the household poltergeist.","Jan 23, 2025"
Presence,2025,RogerEbert.com,88,Matt Zoller Seitz,"Suffice to say that in the end, “Presence” is less of a horror movie or even a traditional ghost story than a drama about personal morality, responsibility, self-inquiry, and personal evolution, told from the perspective of someone who’s not alive anymore.","Jan 24, 2025"
Presence,2025,Paste Magazine,86,Jamie Arena,"Penned by David Koepp, who previously wrote Soderbergh’s tight and thrilling chamber piece Kimi, Presence is a darkly comic and slow-burn genre film that presents as both a haunted house tale and an exploration of a strained family dynamic—shown entirely through the perspective of its ghost.","Feb 13, 2024"
Presence,2025,The Daily Beast,85,Nick Schager,"The director’s latest is a distinctly cool, dynamic Soderbergian riff on Michael Powell’s ""Peeping Tom"" via ""The Haunting,"" with a dash of ""Paranormal Activity"" sprinkled around its edges.","Jan 20, 2024"
Presence,2025,The Film Verdict,85,Alonso Duralde,"The brilliant camera work and editing (both by Soderbergh, under his usual pseudonyms) and Koepp’s tersely insightful writing ratchet up the tension, as the audience and, eventually, the characters figure out just what’s going on in this seemingly ideal house.","Jan 24, 2025"
Presence,2025,Film Threat,85,Calan Panchoo,"Presence’s great strength is not in the exquisiteness of its detail but in its quietness, its delicate vision.","Mar 13, 2025"
Presence,2025,The Film Stage,83,Jordan Raup,"Weaving in skillfully employed, grounded visual effects, it’s rather shocking just how much the ghost, sight unseen, feels like another character in the movie.","Jan 20, 2024"
Presence,2025,The Playlist,83,Marshall Shaffer,"As the film progresses, the decoding moves beyond just camera positioning and movement. Soderbergh understands that the real value in following a strict set of rules is breaking them to startling effect.","Jan 21, 2024"
Presence,2025,Original-Cin,83,Thom Ernst,"It’s a ghost story, a minor entry in Soderbergh’s oeuvre but still worthy of attention.","Jan 21, 2025"
Presence,2025,The A.V. Club,83,Jesse Hassenger,"Presence has the story, limited scope, and 85-minute runtime of a 1940s B-picture, infused—as those pictures often were, and as his crime movies usually are—with a disciplined style and contemporary electricity. It’s budget Gothic that’s worth every penny and then some.","Jan 23, 2025"
Presence,2025,Polygon,82,Tasha Robinson,"Presence is more intellectual than visceral, more engaged with raising questions than pinning viewers to their seats.","Jan 27, 2025"
Presence,2025,Screen Daily,80,Tim Grierson,"The film proves to be a sleek, efficient exercise, with Soderbergh riffing on the conventions of the haunted-house thriller while applying intelligence and technical mastery.","Jan 20, 2024"
Presence,2025,Rolling Stone,80,David Fear,"While the dizzying, dazzling cinematography, self-shot under his usual D.P. pseudonym Peter Andrews, demands you pay attention to the technical virtuosity, that gambit (or gimmick — your call) is merely setting the table for something else.","Jan 20, 2024"
Presence,2025,Screen Rant,80,Patrice Witherspoon,"Without relying on cheap jump scares, Soderbergh’s psychological horror thriller is a shattering mystery about instinct that will chill you.","Jan 25, 2024"
Presence,2025,The New Yorker,80,Richard Brody,"Soderbergh’s premise is no mere gimmick. Working with a script by David Koepp, he infuses his dramatic mechanism with substantial themes.","Jan 17, 2025"
Presence,2025,Empire,80,Iana Murray,Steven Soderbergh’s first-person experiment is a gamble that pays off massively. This is an eerie family drama that turns the horror genre inside out and infuses it with greater empathy.,"Jan 21, 2025"
Presence,2025,The Globe and Mail (Toronto),80,Barry Hertz,"Deeply playful while never falling for the more hoary tendencies of the genre – remarkably, Soderbergh seems to have invented a new way of filming a “jump scare” here – Presence keeps its audience close and tight, building to a finale that forces you to reconsider the entire experiment.","Jan 22, 2025"
Presence,2025,Time Out,80,Olly Richards,"This is very effective, experimental filmmaking – and at 85 minutes it never becomes indulgent – and the most exciting thing Soderbergh’s done in quite some time.","Jan 22, 2025"
Presence,2025,Wall Street Journal,80,Kyle Smith,The plot is so cleverly constructed that its undertones sneak up on you. Their subtlety makes them that much more effective.,"Jan 23, 2025"
Presence,2025,ABC News,80,Peter Travers,"In this shivery ghost story, director-editor-DP Steven Soderbergh proves a rich imagination can work wonders on a low budget and turn the familiar into something fresh and frightening.","Jan 24, 2025"
Presence,2025,Little White Lies,80,Manuela Lazic,Soderbergh’s enjoyably swift chiller demonstrates genuine curiosity towards its occupiers and the choices they make through difficult circumstances.,"Jan 24, 2025"
